X,Y,Index_,ACCNUM,YEAR,DATE,TIME,Hour,STREET1,STREET2,OFFSET,ROAD_CLASS,LATITUDE,LONGITUDE,LOCCOORD,ACCLOC,TRAFFCTL,VISIBILITY,ACCLASS,LEVEL,INVTYPE,TYPE,INVAGE,INJURY,condition,VEHTYPE,MANOEUVER,DRIVACT,DRIVCOND,PEDTYPE,PEDACT,PEDCOND,CYCLISTYPE,CYCACT,CYCCOND
-79.45473,43.67528,80771254,7001005616,2017,"June 3, 2017",2330,23,ST CLAIR AVE W,CALEDONIA RD, ,Major Arterial,43.67528,-79.45473,Intersection,Intersection Related,Traffic Signal,Clear,Non-Fatal,non-fatal,Cyclist,cyclist,40 to 44,Major,severely injured,Bicycle,Going Ahead, , , , , ,Cyclist and Driver travelling in same direction. One vehicle sideswipes the other.,Driving Properly,Normal
-79.520641,43.770049,80783529,7001744141,2017,"September 25, 2017",2330,23,4673 JANE ST, ,6 m North of,Major Arterial,43.770049,-79.520641,Mid-Block,Non Intersection,No Control,Clear,Non-Fatal,non-fatal,Pedestrian,pedestrian,25 to 29,Major,severely injured, , , , ,Pedestrian hit at mid-block,"Crossing, no Traffic Control",Had Been Drinking, , , 
-79.286601,43.751868,80790894,7003112978,2017,"December 1, 2017",2330,23,BIRCHMOUNT RD,MERRYFIELD DR, ,Major Arterial,43.751868,-79.286601,Intersection,At Intersection,No Control,Clear,Fatal,fatal,Pedestrian,pedestrian,65 to 69,Fatal,killed, , , , ,Vehicle is going straight thru inter.while ped cross without ROW,"Crossing, no Traffic Control",Normal, , , 
-79.38419,43.663845,5406741,1058925,2008,"September 4, 2008",2334,23,YONGE Stre,BREADALBANE Stre, ,Major Arterial,43.663845,-79.38419,Intersection,At Intersection,Stop Sign,Clear,Non-Fatal,non-fatal,Pedestrian,pedestrian,35 to 39,Major,severely injured,Other, , , ,Vehicle turns left while ped crosses with ROW at inter.,Crossing with right of way,Had Been Drinking, , , 
-79.381068,43.639712,80934830,8000516187,2018,"March 21, 2018",2305,23,QUEENS QUAY W,YORK ST,60 m West of,Minor Arterial,43.639712,-79.381068,Mid-Block,Non Intersection,No Control,Clear,Non-Fatal,non-fatal,Pedestrian,pedestrian,45 to 49,Major,severely injured, , , , ,Pedestrian hit at mid-block,Running onto Roadway,Inattentive, , , 
-79.397586,43.651843,7826572,1359618,2013,"June 6, 2013",2306,23,SPADINA AVE,GRANGE AVE, ,Major Arterial,43.651843,-79.397586,Intersection, ,No Control,Rain,Fatal,fatal,Pedestrian,pedestrian,75 to 79,Fatal,killed, , , , ,Pedestrian hit at mid-block,Running onto Roadway,Unknown, , , 
-79.296924,43.702246,80000041,142723300,2014,"August 17, 2014",2306,23,DAWES RD,GOWER ST, ,Minor Arterial,43.702246,-79.296924,Intersection,At Intersection,Traffic Signal,Clear,Fatal,fatal,Pedestrian,pedestrian,60 to 64,Fatal,killed, , , , ,Vehicle turns left while ped crosses with ROW at inter.,Crossing with right of way,Unknown, , , 
-79.37579,43.644045,5399137,1055774,2008,"August 1, 2008",2307,23,LAKE SHORE W BLVD E,YONGE ST, ,Expressway,43.644045,-79.37579,Intersection,At Intersection,Traffic Signal,Clear,Non-Fatal,non-fatal,Pedestrian,pedestrian,25 to 29,Major,severely injured,Other, , , ,Pedestrian hit on sidewalk or shoulder,On Sidewalk or Shoulder,Normal, , , 
-79.320789,43.676543,5792383,1103248,2009,"May 7, 2009",2307,23,COXWELL AVE,CASCI AVE, ,Minor Arterial,43.676543,-79.320789,Intersection, ,No Control,Clear,Non-Fatal,non-fatal,Cyclist,cyclist,15 to 19,Major,severely injured,Bicycle,Changing Lanes, , , , , ,Cyclist and Driver travelling in same direction. One vehicle sideswipes the other.,Improper Lane Change, 
-79.467609,43.672522,80247472,5001379991,2015,"August 12, 2015",2307,23,ST CLAIR AVE W,KEELE ST, ,Major Arterial,43.672522,-79.467609,Intersection,At Intersection,Traffic Signal,Clear,Non-Fatal,non-fatal,Pedestrian,pedestrian,15 to 19,Major,severely injured, , , , ,Vehicle is going straight thru inter.while ped cross without ROW,Crossing without right of way,Inattentive, , , 
-79.475673,43.670657,80943144,7003197919,2017,"December 14, 2017",2307,23,ST CLAIR  AVE W,MONDOVI  GT,41 m West of,Major Arterial,43.670657,-79.475673,Mid-Block,Non Intersection,No Control,Clear,Non-Fatal,non-fatal,Pedestrian,pedestrian,15 to 19,Major,severely injured, , , , ,Pedestrian hit at mid-block,"Crossing, no Traffic Control",Inattentive, , , 
-79.257114,43.758887,80631943,4003523985,2014,"December 20, 2014",2308,23,BRIMLEY RD,DORCOT AVE, ,Major Arterial,43.758887,-79.257114,Intersection,At Intersection,Traffic Signal,Clear,Non-Fatal,non-fatal,Pedestrian,pedestrian,20 to 24,Major,severely injured, , , , ,Vehicle is going straight thru inter.while ped cross without ROW,Crossing without right of way,Had Been Drinking, , , 
-79.34798,43.755549,80783698,7001803207,2017,"October 4, 2017",2308,23,900 YORK MILLS RD, , ,Major Arterial,43.755549,-79.34798,Mid-Block,Non Intersection,No Control,Clear,Fatal,fatal,Pedestrian,pedestrian,60 to 64,Fatal,killed, , , , ,Pedestrian hit on sidewalk or shoulder,On Sidewalk or Shoulder,Unknown, , , 
-79.45899,43.637945,6279955,1191582,2010,"September 26, 2010",2309,23,LAKE SHORE BLVD W,COLBORNE LODGE DR, ,Major Arterial,43.637945,-79.45899,Intersection,At Intersection,Traffic Signal,Clear,Fatal,fatal,Cyclist,cyclist,25 to 29,Fatal,killed,Bicycle,Going Ahead, , , , , ,"Cyclist without ROW rides into path of motorist at inter, lnwy, dwy-Cyclist not turn.",Disobeyed Traffic Control,Had Been Drinking
-79.44209,43.770345,7404650,1289788,2012,"April 18, 2012",2310,23,BATHURST ST,MASCOT PL, ,Major Arterial,43.770345,-79.44209,Intersection,At Intersection,No Control,Clear,Non-Fatal,non-fatal,Pedestrian,pedestrian,85 to 89,Major,severely injured,Other, , , ,Vehicle is going straight thru inter.while ped cross without ROW,"Crossing, no Traffic Control",Medical or Physical Disability, , , 
-79.349742,43.698043,80492120,5001905504,2015,"November 5, 2015",2310,23,DON VALLEY PARKWAY  S,LEASIDE BDGE, ,Expressway,43.698043,-79.349742,Mid-Block,Non Intersection,No Control,Clear,Non-Fatal,non-fatal,Pedestrian,pedestrian,50 to 54,Major,severely injured, , , , ,Other / Undefined,Other,Other, , , 
-79.398532,43.659106,80772593,7000366630,2017,"February 26, 2017",2311,23,215 HURON ST, ,20 m South of,Local,43.659106,-79.398532,Mid-Block,Non Intersection,No Control,Clear,Non-Fatal,non-fatal,Cyclist,cyclist,25 to 29,Major,severely injured,Bicycle,Going Ahead, , , , , ,Insufficient information (to determine cyclist crash type).,Other,Inattentive
-79.382236,43.710009,80169238,4002604819,2014,"July 30, 2014",2312,23,EGLINTON AVE E,BANFF RD, ,Major Arterial,43.710009,-79.382236,Intersection,Intersection Related,Traffic Signal,Clear,Non-Fatal,non-fatal,Cyclist,cyclist,55 to 59,Major,severely injured,Bicycle,Going Ahead, , , , , ,"Cyclist without ROW rides into path of motorist at inter, lnwy, dwy-Cyclist not turn.",Disobeyed Traffic Control,Normal
-79.28399,43.747645,5302056,1132060,2009,"September 25, 2009",2315,23,LAWRENCE AVE E,BIRCHMOUNT RD, ,Major Arterial,43.747645,-79.28399,Mid-Block, ,No Control,Clear,Non-Fatal,non-fatal,Pedestrian,pedestrian,50 to 54,Major,severely injured,Other, , , ,Pedestrian involved in a collision with transit vehicle anywhere along roadway,Running onto Roadway,Had Been Drinking, , , 
-79.34649,43.769545,5865467,1126375,2009,"September 19, 2009",2315,23,DON MILLS RD,HAVENBROOK BLVD, ,Major Arterial,43.769545,-79.34649,Intersection,At Intersection,Traffic Signal,Clear,Non-Fatal,non-fatal,Pedestrian,pedestrian,15 to 19,Major,severely injured,Other, , , ,Vehicle is going straight thru inter.while ped cross with ROW,Crossing with right of way,Normal, , , 
-79.516246,43.718318,80565672,6001093797,2016,"June 22, 2016",2315,23,120 BEVERLY HILLS DR, ,65 m South of,Collector,43.718318,-79.516246,Mid-Block,Non Intersection,No Control,Clear,Non-Fatal,non-fatal,Pedestrian,pedestrian,10 to 14,Major,severely injured, , , , ,Vehicle hits the pedestrian walking or running out from between parked vehicles at mid-block,"Crossing, no Traffic Control",Inattentive, , , 
-79.374309,43.662909,80632380,6002153175,2016,"December 4, 2016",2315,23,CARLTON STREET,HOMEWOOD AVENUE, ,Minor Arterial,43.662909,-79.374309,Intersection,At Intersection,No Control,Rain,Non-Fatal,non-fatal,Pedestrian,pedestrian,25 to 29,Major,severely injured, , , , ,Vehicle turns left while ped crosses with ROW at inter.,Crossing with right of way,Normal, , , 
-79.22832,43.767493,80774628,7000609601,2017,"April 6, 2017",2315,23,MARKHAM RD,PAINTED POST DR,10 m West of,Major Arterial,43.767493,-79.22832,Intersection,At Intersection,Traffic Signal,Rain,Non-Fatal,non-fatal,Pedestrian,pedestrian,25 to 29,Major,severely injured, , , , ,Vehicle is going straight thru inter.while ped cross without ROW,Crossing without right of way,Inattentive, , , 
-79.481014,43.784629,80976595,8002051381,2018,"November 6, 2018",2315,23,STEELES AVE W,ALNESS ST, ,Major Arterial,43.784629,-79.481014,Intersection,At Intersection,Traffic Signal,Rain,Non-Fatal,non-fatal,Cyclist,cyclist,15 to 19,Major,severely injured,Bicycle,Going Ahead, , , , , ,Motorist turned left across cyclists path.,Driving Properly,Normal
-79.50429,43.704745,5221830,1096633,2009,"March 27, 2009",2337,23,1749 JANE ST, , ,Major Arterial,43.704745,-79.50429,Mid-Block,At Intersection,No Control,Clear,Non-Fatal,non-fatal,Pedestrian,pedestrian,35 to 39,Major,severely injured,Other, , , ,Pedestrian hit at mid-block,"Crossing, no Traffic Control",Had Been Drinking, , , 
-79.328265,43.682341,80496257,5002235651,2015,"December 30, 2015",2339,23,DANFORTH AVE,GILLARD AVE, ,Major Arterial,43.682341,-79.328265,Intersection,At Intersection,No Control,Clear,Fatal,fatal,Pedestrian,pedestrian,60 to 64,Fatal,killed, , , , ,Vehicle is going straight thru inter.while ped cross with ROW,"Crossing, no Traffic Control",Normal, , , 
-79.517566,43.756663,80167946,4002524694,2014,"July 18, 2014",2340,23,3900 JANE ST, , ,Major Arterial,43.756663,-79.517566,Mid-Block,At/Near Private Drive,No Control,Clear,Non-Fatal,non-fatal,Cyclist,cyclist,30 to 34,Major,severely injured,Bicycle,Unknown, , , , , ,"Motorist without ROW drives into path of cyclist at inter, lnwy, dwy-Driver not turn.",Other,Unknown
-79.461795,43.658988,80950424,8001595104,2018,"August 28, 2018",2341,23,KEELE  ST,GLENLAKE  AVE,81 m North of,Major Arterial,43.658988,-79.461795,Mid-Block,Non Intersection,No Control,Clear,Non-Fatal,non-fatal,Pedestrian,pedestrian,70 to 74,Major,severely injured, , , , ,Pedestrian hit at mid-block,Walking on Roadway with Traffic,Medical or Physical Disability, , , 
-79.42919,43.642045,6652929,1244229,2011,"July 15, 2011",2344,23,QUEEN Stre W,DUFFERIN, ,Major Arterial,43.642045,-79.42919,Mid-Block, ,Streetcar (Stop for),Clear,Non-Fatal,non-fatal,Pedestrian,pedestrian,20 to 24,Major,severely injured,Other, , , ,Pedestrian hit at mid-block,Person Getting on/off Vehicle,Unknown, , , 
-79.39079,43.649145,5453647,1081341,2008,"December 11, 2008",2350,23,RICHMOND ST W,JOHN ST, ,Major Arterial,43.649145,-79.39079,Intersection,At Intersection,Traffic Signal,Clear,Non-Fatal,non-fatal,Pedestrian,pedestrian,20 to 24,Major,severely injured,Other, , , ,Vehicle turns left while ped crosses with ROW at inter.,Crossing with right of way,Normal, , , 
-79.26789,43.689745,6280067,1194056,2010,"October 9, 2010",2350,23,KINGSTON RD,KALMAR AVE, ,Major Arterial,43.689745,-79.26789,Intersection, ,No Control,Clear,Non-Fatal,non-fatal,Pedestrian,pedestrian,50 to 54,Major,severely injured,Other, , , ,Vehicle is going straight thru inter.while ped cross without ROW,Crossing without right of way,Unknown, , , 
-79.37239,43.651545,7812416,1353552,2013,"April 28, 2013",2350,23,JARVIS ST,ADELAIDE ST E, ,Major Arterial,43.651545,-79.37239,Intersection,At Intersection,Traffic Signal,Rain,Non-Fatal,non-fatal,Pedestrian,pedestrian,35 to 39,Major,severely injured,Other, , , ,Vehicle turns left while ped crosses with ROW at inter.,Crossing with right of way,Had Been Drinking, , , 
-79.24539,43.755545,5258498,1113026,2009,"May 27, 2009",2353,23,MCCOWAN Road,LAWRENCE Aven E, ,Major Arterial,43.755545,-79.24539,Intersection,At Intersection,Traffic Signal,Rain,Non-Fatal,non-fatal,Pedestrian,pedestrian,40 to 44,Major,severely injured,Other, , , ,Vehicle turns left while ped crosses with ROW at inter.,Crossing with right of way,Normal, , , 
-79.583987,43.688479,80877057,8008069034,2018,"May 4, 2018",2354,23,DIXON RD,27 S DIXON W RAMP, ,Major Arterial,43.688479,-79.583987,Mid-Block,Overpass or Bridge,No Control, ,Fatal,fatal,Pedestrian,pedestrian,60 to 64,Fatal,killed, , , , ,Pedestrian hit at mid-block,"Crossing, no Traffic Control",Unknown, , , 
-79.51739,43.661045,5274974,1120288,2009,"July 10, 2009",2355,23,1144 ROYAL YORK RD, , ,Minor Arterial,43.661045,-79.51739,Mid-Block, ,No Control,Clear,Non-Fatal,non-fatal,Pedestrian,pedestrian,50 to 54,Major,severely injured,Other, , , ,Pedestrian hit at mid-block,"Crossing, no Traffic Control","Ability Impaired, Alcohol Over .80", , , 
-79.40874,43.634425,80243293,5001110080,2015,"July 2, 2015",2355,23,LAKE SHORE BLVD W,REMEMBRANCE DR,4 m East of,Major Arterial,43.634425,-79.40874,Intersection,Intersection Related,Traffic Signal,Clear,Non-Fatal,non-fatal,Pedestrian,pedestrian,30 to 34,Major,severely injured, , , , ,Vehicle is going straight thru inter.while ped cross without ROW,Crossing without right of way,Unknown, , , 
-79.43799,43.753445,7514268,1282294,2012,"February 28, 2012",2356,23,BATHURST ST,MCALLISTER RD, ,Major Arterial,43.753445,-79.43799,Intersection, ,No Control,Clear,Non-Fatal,non-fatal,Pedestrian,pedestrian,20 to 24,Major,severely injured,Other, , , ,Vehicle is going straight thru inter.while ped cross without ROW,"Crossing, no Traffic Control",Inattentive, , , 
-79.419742,43.630351,80892785,7001690052,2017,"September 17, 2017",2358,23,LAKE SHORE BLVD W,REMEMBRANCE DR, ,Major Arterial,43.630351,-79.419742,Intersection,At Intersection,Traffic Signal,Clear,Non-Fatal,non-fatal,Cyclist,cyclist,25 to 29,Major,severely injured,Bicycle,Going Ahead, , , , , ,Motorist turning right on red at signalized intersection strikes cyclist.,Driving Properly,Normal
